,Train_acc,Train_prec,Train_recall,Train_fscore,Test_acc,Test_prec,Test_recall,Test_fscore,Model,Model_version
0,0.9997408039397802,0.9984181386765094,0.9984181386765094,0.9984181386765094,0.949921066479565,0.7838479809976246,0.5325443786982249,0.6342088404868674,rf,benchmark
0,0.9340346026740394,0.8821096173733195,0.22488795148958607,0.3584033613445378,0.9321610243816875,0.8406113537117904,0.20710059171597633,0.33232628398791536,xgb,benchmark
0,0.9180724452988315,0.0,0.0,0.0,0.9184792141729521,0.0,0.0,0.0,lr,benchmark
0,0.32801261420826405,0.08611599297012303,0.7492749802267334,0.1544775105313222,0.3171373443255569,0.08336877924287538,0.7380311995696611,0.1498143699497707,nb,benchmark
0,0.9998588368153586,0.9998118001317399,0.999905891210239,0.9998588434573942,0.9496579547447817,0.7581699346405228,0.5615922538999462,0.6452410383189122,rf,smote
0,0.911325992847732,0.9864225696956207,0.8341332580463016,0.9039084210794688,0.9360199964918435,0.7136752136752137,0.3593329747175901,0.4779964221824687,xgb,smote
0,0.5147162619988707,0.5144041450777203,0.5255505364201016,0.5199176063959781,0.5045606034029118,0.08705923527867705,0.5352339967724583,0.14975918121613485,lr,smote
0,0.5242447769621683,0.5162056330497413,0.7722802559759081,0.6187967160887146,0.30569198386248025,0.08410714285714285,0.7600860677783755,0.15145506190042338,nb,smote
0,0.9996966939642099,0.9989437549511486,0.997363564460849,0.9981530343007916,0.9495702508331871,0.7802371541501977,0.5309306078536847,0.6318822023047375,rf,tl
0,0.9341175960830191,0.8708086785009862,0.23279725810703927,0.3673809028500104,0.9329503595860376,0.8381147540983607,0.22001075847229692,0.34853003834682567,xgb,tl
0,0.9178257290177217,0.0,0.0,0.0,0.9184792141729521,0.0,0.0,0.0,lr,tl
0,0.3273105420512154,0.08635080583968191,0.7500659108884787,0.15487207403375067,0.3161726012980179,0.08325747921597185,0.7380311995696611,0.14963463845566585,nb,tl
0,0.9986817822304245,0.9989448694275916,0.9984181386765094,0.9986814345991561,0.8196807577617962,0.29356789444749865,0.8617536309844002,0.4379442318206671,rf,nm
0,0.816108621144213,0.9260838663823738,0.6870551015027683,0.7888602996821553,0.9076039291352395,0.45500725689404936,0.6745562130177515,0.5434452871072589,xgb,nm
0,0.49986817822304247,0.49892008639308855,0.06090166095438967,0.10855263157894737,0.8690142080336783,0.09248554913294797,0.06885422270037654,0.07893925377736663,lr,nm
0,0.5063274452939626,0.5036551934206518,0.8718692327972581,0.638478617627184,0.18435362217154885,0.08107702317201342,0.8714362560516407,0.14835164835164835,nb,nm
0,0.9998588135633103,0.9998823390987175,0.9998352824905288,0.9998588102409639,0.9494825469215927,0.7516014234875444,0.5680473372781065,0.6470588235294118,rf,smo_tl
0,0.9113819799044638,0.986422191925656,0.8342471233263524,0.9039751141028582,0.9360199964918435,0.7136752136752137,0.3593329747175901,0.4779964221824687,xgb,smo_tl
0,0.5145186719062522,0.5142159347495507,0.5251664823399299,0.5196335230910721,0.5045167514471145,0.08683473389355742,0.5336202259279182,0.14936384852819393,lr,smo_tl
0,0.524260536037838,0.516215791129286,0.7723133397651599,0.6188146346521867,0.30569198386248025,0.08415664801809308,0.7606239913932221,0.15154600503724344,nb,smo_tl
